merchant_slug,first_name,last_name,email,website_url,commissions_total
noblequest-financial,Anthony,Hernandez,anthony.hernandez1@example.com,www.anthonyhernandez1.com,7
epicenter-marketing,Patricia,Lee,patricia.lee2@example.com,www.patricialee2.com,509
truenorth-logistics,Donna,Miller,donna.miller3@example.com,www.donnamiller3.com,446
infinite-loop-technologies,Christopher,Wilson,christopher.wilson4@example.com,www.christopherwilson4.com,242
revolutionary-robotics,Elizabeth,Moore,elizabeth.moore5@example.com,www.elizabethmoore5.com,654
nexgen,Christopher,Rodriguez,christopher.rodriguez6@example.com,www.christopherrodriguez6.com,563
cobalt-communications,Elizabeth,Rodriguez,elizabeth.rodriguez7@example.com,www.elizabethrodriguez7.com,324
catalyst-creatives,Joseph,Smith,joseph.smith8@example.com,www.josephsmith8.com,520
verdevista-agriculture,Matthew,Wilson,matthew.wilson9@example.com,www.matthewwilson9.com,548
urbansync-systems,Thomas,Lopez,thomas.lopez10@example.com,www.thomaslopez10.com,446
infusion-analytics,Steven,Taylor,steven.taylor11@example.com,www.steventaylor11.com,965
aquavibe-solutions,Sarah,Hernandez,sarah.hernandez12@example.com,www.sarahhernandez12.com,272
crestwood-ventures,Jennifer,Wilson,jennifer.wilson13@example.com,www.jenniferwilson13.com,170
evergreen-tech-solutions,Matthew,Brown,matthew.brown14@example.com,www.matthewbrown14.com,715
skyhigh-enterprises,Donald,Jones,donald.jones15@example.com,www.donaldjones15.com,218
radiant-energy-technologies,Paul,Jones,paul.jones16@example.com,www.pauljones16.com,698
opencanvas-art-studio,Margaret,Perez,margaret.perez17@example.com,www.margaretperez17.com,212
brightforge-studios,Daniel,Sanchez,daniel.sanchez18@example.com,www.danielsanchez18.com,135
naturalife-labs,Sandra,Clark,sandra.clark19@example.com,www.sandraclark19.com,687
blueplanet-waste-management,Matthew,Wilson,matthew.wilson20@example.com,www.matthewwilson20.com,65
pureharmony-wellness,Michael,Johnson,michael.johnson21@example.com,www.michaeljohnson21.com,816
hearty-roots-organics,Thomas,Taylor,thomas.taylor22@example.com,www.thomastaylor22.com,827
echoverse-studios,Andrew,Smith,andrew.smith23@example.com,www.andrewsmith23.com,736
frostflare-technologies,Betty,Rodriguez,betty.rodriguez24@example.com,www.bettyrodriguez24.com,690
bamboo-grove-industries,Margaret,Martinez,margaret.martinez25@example.com,www.margaretmartinez25.com,286
mindful-mission-consulting,Michael,Jackson,michael.jackson26@example.com,www.michaeljackson26.com,976
horizon-space-systems,Kenneth,Lopez,kenneth.lopez27@example.com,www.kennethlopez27.com,32
terragraph-technologies,Susan,Brown,susan.brown28@example.com,www.susanbrown28.com,812
skyhigh-enterprises,Christopher,Miller,christopher.miller29@example.com,www.christophermiller29.com,488
velocity-sports-equipment,Jennifer,Thomas,jennifer.thomas30@example.com,www.jenniferthomas30.com,504
vortex-media-group,Daniel,Garcia,daniel.garcia31@example.com,www.danielgarcia31.com,38
park-and-play-events,Ashley,Brown,ashley.brown32@example.com,www.ashleybrown32.com,676
sage-stone-interiors,Matthew,Lee,matthew.lee33@example.com,www.matthewlee33.com,161
ecotide-concepts,Elizabeth,Hernandez,elizabeth.hernandez34@example.com,www.elizabethhernandez34.com,563
thrivespace-technologies,James,Sanchez,james.sanchez35@example.com,www.jamessanchez35.com,136
guardian-it-services,Jessica,Harris,jessica.harris36@example.com,www.jessicaharris36.com,296
blueplanet-waste-management,Kenneth,Thompson,kenneth.thompson37@example.com,www.kenneththompson37.com,832
aetherial-design-co,David,Thompson,david.thompson38@example.com,www.davidthompson38.com,263
clevercloud-services,William,Lee,william.lee39@example.com,www.williamlee39.com,574
jazzedup-media,Margaret,Davis,margaret.davis40@example.com,www.margaretdavis40.com,851
catalyst-creatives,Robert,Martinez,robert.martinez41@example.com,www.robertmartinez41.com,445
hearty-roots-organics,Mary,Ramirez,mary.ramirez42@example.com,www.maryramirez42.com,294
vortex-media-group,James,Harris,james.harris43@example.com,www.jamesharris43.com,333
infusion-analytics,Linda,Lee,linda.lee44@example.com,www.lindalee44.com,991
zenith-health-partners,Linda,Robinson,linda.robinson45@example.com,www.lindarobinson45.com,897
mindful-mission-consulting,Matthew,Hernandez,matthew.hernandez46@example.com,www.matthewhernandez46.com,604
enlighten-health-solutions,Kimberly,Williams,kimberly.williams47@example.com,www.kimberlywilliams47.com,77
clearripple-communications,Ashley,Moore,ashley.moore48@example.com,www.ashleymoore48.com,676
fableforge-games,Karen,Johnson,karen.johnson49@example.com,www.karenjohnson49.com,315
clevercloud-services,Robert,Smith,robert.smith50@example.com,www.robertsmith50.com,196
echofall-productions,Matthew,Martinez,matthew.martinez51@example.com,www.matthewmartinez51.com,161
nextwave-technologies,Matthew,Gonzalez,matthew.gonzalez52@example.com,www.matthewgonzalez52.com,959
jazzedup-media,Mary,Thompson,mary.thompson53@example.com,www.marythompson53.com,853
park-and-play-events,Christopher,Garcia,christopher.garcia54@example.com,www.christophergarcia54.com,221
skyhigh-enterprises,Donna,Martinez,donna.martinez55@example.com,www.donnamartinez55.com,803
crescendo-music-works,Anthony,Lopez,anthony.lopez56@example.com,www.anthonylopez56.com,331
quantumleaf-investments,Nancy,Davis,nancy.davis57@example.com,www.nancydavis57.com,658
lush-life-organics,Thomas,Thompson,thomas.thompson58@example.com,www.thomasthompson58.com,597
pixelwave-media,David,Thomas,david.thomas59@example.com,www.davidthomas59.com,519
oasis-wellness-center,Thomas,Martin,thomas.martin60@example.com,www.thomasmartin60.com,878
vortex-media-group,Paul,Lopez,paul.lopez61@example.com,www.paullopez61.com,353
